INTRACOMD0X91221       0113342913951     0327281910          0327281919          Mme LEVAN           idep                               
    2E000154000023      342913951     593FR 1100000000759AA  21133074900 0000000029           0000000016 CZCZ7804023084    122025       
    2E000154000024      342913951     593FR 1100000000285AA  21133074900 0000000010           0000000006 CZCZ7804023084    122025       
    2E000154000025      342913951     593FR 1100000000295AA  21184248970 0000000007           0000000012 CZCZ7804023084    122025       
    2E000154000026      342913951     593FR 1100000000045AA  21133074900 0000000003           0000000001 CZCZ7804023084    122025       
    2E000154000027      342913951     593FR 1100000000397AA  21134025090 0000000096                      DEDE227739080     122025       
    2E000154000028      342913951     593FR 1100000000132AA  21133074900 0000000036           0000000096 DEDE227739080     122025       
    2E000154000029      342913951     593FR 1100000000099AA  21133074900 0000000027           0000000072 DEDE227739080     122025       
    2E000154000030      342913951     593FR 1100000000506AA  21133074900 0000000023           0000000006 ATATU37431702     122025       
    2E000154000031      342913951     593FR 1100000000506AA  21133074900 0000000024           0000000006 ATATU37431702     122025       
    2E000154000032      342913951     593FR 1100000000103AA  21133074900 0000000003           0000000005 ATATU37431702     122025       
    2E000154000033      342913951     593FR 1100000000103AA  21133074900 0000000003           0000000005 ATATU37431702     122025       
    2E000154000034      342913951     593FR 1100000000166AA  21133074900 0000000005           0000000003 DEDE272669325     122025       
    2E000154000035      342913951     593FR 1100000000333AA  21133074900 0000000020           0000000003 DEDE272669325     122025       
    2E000154000036      342913951     593FR 1100000000235AA  21133074900 0000000014           0000000002 DEDE272669325     122025       
    2E000154000037      342913951     593FR 1100000000270AA  21133074900 0000000008           0000000002 DEDE126782796     122025       
    2E000154000038      342913951     593FR 1100000000135AA  21133074900 0000000004           0000000001 DEDE126782796     122025       
    2E000154000039      342913951     593FR 1100000000052AA  21133074900 0000000004           0000000001 DEDE126782796     122025       
    2E000154000040      342913951     593FR 1100000000238AA  21134025010 0000000104           0000000005 NLNL862029922B01  122025       
    2E000154000041      342913951     593FR 1100000000125AA  21133074900 0000000003           0000000005 NLNL862029922B01  122025       
    2E000154000042      342913951     593FR 1100000000033AA  21133074900 0000000009           0000000024 DEDE272669325     122025       
    2E000154000043      342913951     593FR 1100000000086AA  21133074900 0000000023           0000000060 DEDE272669325     122025       
    2E000154000044      342913951     593FR 1100000000052AA  21133074900 0000000014           0000000036 DEDE272669325     122025       
    2E000154000045      342913951     593FR 1100000000222AA  21133074900 0000000013           0000000002 DEDE272669325     122025       
    2E000154000046      342913951     593FR 1100000000050AA  21133074900 0000000002           0000000001 CZCZ63906643      122025       
    2E000154000047      342913951     593FR 1100000000050AA  21133074900 0000000002           0000000001 CZCZ63906643      122025       
    2E000154000048      342913951     593FR 1100000000050AA  21133074900 0000000002           0000000001 CZCZ63906643      122025       
    2E000154000049      342913951     593FR 1100000000184AA  21133074900 0000000014           0000000002 CZCZ63906643      122025       
    2E000154000050      342913951     593FR 1100000000220AA  21133074900 0000000006           0000000010 CZCZ63906643      122025       
    2E000154000051      342913951     593FR 1100000001080AA  21133074900 0000000010           0000000009 CZCZ63906643      122025       
    2E000154000052      342913951     593FR 1100000000304AA  21184248970 0000000007           0000000012 CZCZ63906643      122025       
    2E000154000053      342913951     593FR 1100000001680AA  21185098000 0000000023           0000000012 CZCZ63906643      122025       
    2E000154000054      342913951     593FR 1100000000403AA  21133074900 0000000021           0000000005 CZCZ63906643      122025       
    2E000154000055      342913951     593FR 1100000000806AA  21133074900 0000000042           0000000010 CZCZ63906643      122025       
    2E000154000056      342913951     593FR 1100000000222AA  21139249000 0000000021           0000000012 ESESB72909831     122025       
    2E000154000057      342913951     593FR 1100000000207AA  21133074900 0000000008           0000000012 ESESB72909831     122025       
    2E000154000058      342913951     593FR 1100000000104AA  21133074900 0000000004           0000000006 ESESB72909831     122025       
    2E000154000059      342913951     593FR 1100000000346AA  21133074900 0000000017           0000000004 ESESB72909831     122025       
    2E000154000060      342913951     593FR 1100000000346AA  21133074900 0000000017           0000000004 ESESB72909831     122025       
    2E000154000061      342913951     593FR 1100000000173AA  21133074900 0000000008           0000000002 ESESB72909831     122025       
    2E000154000062      342913951     593FR 1100000000346AA  21133074900 0000000017           0000000004 ESESB72909831     122025       
    2E000154000063      342913951     593FR 1100000000192AA  21133074900 0000000010           0000000004 ESESB72909831     122025       
    2E000154000064      342913951     593FR 1100000000048AA  21133074900 0000000003           0000000001 ESESB72909831     122025       
    2E000154000065      342913951     593FR 1100000000135AA  21138089490 0000000018           0000000003 ESESB72909831     122025       
    2E000154000066      342913951     593FR 1100000000378AA  21138089110 0000000017           0000000006 ESESB72909831     122025       
    2E000154000067      342913951     593FR 1100000000095AA  21185098000 0000000002           0000000001 ESESB72909831     122025       
    2E000154000068      342913951     593FR 1100000000259AA  21133074900 0000000013           0000000003 ESESB72909831     122025       
    2E000154000069      342913951     593FR 1100000000329AA  21173239300 0000000025           0000000030 DEDE811215587     122025       
    2E000154000070      342913951     593FR 1100000000226AA  21133074900 0000000054           0000000144 DEDE811215587     122025       
    2E000154000071      342913951     593FR 1100000000132AA  21133074900 0000000032           0000000084 DEDE811215587     122025       
    2E000154000072      342913951     593FR 1100000000316AA  21133074900 0000000008           0000000002 DEDE811215587     122025       
    2E000154000073      342913951     593FR 1100000000157AA  21133074900 0000000004           0000000001 DEDE811215587     122025       
    2E000154000074      342913951     593FR 1100000000034AA  21173231000 0000000006           0000000010 DEDE811215587     122025       
    2E000154000075      342913951     593FR 1100000000024AA  21139249000 0000000003           0000000024 DEDE811215587     122025       
    2E000154000076      342913951     593FR 1100000000102AA  21133074900 0000000007           0000000001 ATATU81140935     122025       
    2E000154000077      342913951     593FR 1100000000102AA  21133074900 0000000007           0000000001 ATATU81140935     122025       
    2E000154000078      342913951     593FR 1100000000050AA  21196039091 0000000004           0000000010 ATATU81140935     122025       
    2E000154000079      342913951     593FR 1100000000025AA  21163071010 0000000002           0000000010 ATATU81140935     122025       
    2E000154000080      342913951     593FR 1100000000174AA  21133074900 0000000005           0000000003 SESE556968780801  122025       
    2E000154000081      342913951     593FR 1100000000116AA  21133074900 0000000004           0000000002 SESE556968780801  122025       
    2E000154000082      342913951     593FR 1100000000116AA  21133074900 0000000002                      SESE556968780801  122025       
    2E000154000083      342913951     593FR 1100000000029AA  21133074900 0000000001                      SESE556968780801  122025       
    2E000154000084      342913951     593FR 1100000000029AA  21133074900 0000000002           0000000001 SESE556968780801  122025       
    2E000154000085      342913951     593FR 1100000000029AA  21133074900 0000000002           0000000001 SESE556968780801  122025       
    2E000154000086      342913951     593FR 1100000000212AA  21133074900 0000000013           0000000002 LULU24406123      122025       
    2E000154000087      342913951     593FR 1100000000039AA  21133074900 0000000002           0000000001 LULU24406123      122025       
    2E000154000088      342913951     593FR 1100000000423AA  21133074900 0000000026           0000000004 LULU24406123      122025       
    2E000154000089      342913951     593FR 1100000003203AA  21133074900 0000000049           0000000061 BEBE0502475341    122025       
    2E000154000090      342913951     593FR 1100000007749AA  21133074900 0000000082           0000000123 BEBE0502475341    122025       
    2E000154000091      342913951     593FR 1100000000081AA  21133074900 0000000003           0000000002 DEDE121856533     122025       
    2E000154000092      342913951     593FR 1100000000107AA  21133074900 0000000004           0000000001 DEDE121856533     122025       
    2E000154000093      342913951     593FR 1100000000476AA  21133074900 0000000021           0000000012 DEDE121856533     122025       
    2E000154000094      342913951     593FR 1100000000158AA  21133074900 0000000005           0000000003 DEDE121856533     122025       
    2E000154000095      342913951     593FR 1100000000321AA  21133074900 0000000013           0000000003 DEDE121856533     122025       
    2E000154000096      342913951     593FR 1100000000214AA  21133074900 0000000008           0000000002 DEDE121856533     122025       
    2E000154000097      342913951     593FR 1100000003810AA  21133074900 0000000101           0000002592 DKDK27339506      122025       
    2E000154000098      342913951     593FR 1100000000121AA  21133074900 0000000015           0000000096 DKDK27339506      122025       
    2E000154000099      342913951     593FR 1100000000270AA  21133074900 0000000008           0000000002 LULU16025151      122025       
    2E000154000100      342913951     593FR 1100000000270AA  21133074900 0000000008           0000000002 LULU16025151      122025       
    2E000154000101      342913951     593FR 1100000000270AA  21133074900 0000000008           0000000002 LULU16025151      122025       
    2E000154000102      342913951     593FR 1100000000405AA  21133074900 0000000013           0000000003 LULU16025151      122025       
    2E000154000103      342913951     593FR 1100000000125AA  21133074900 0000000003           0000000005 LULU16025151      122025       
    2E000154000104      342913951     593FR 1100000000125AA  21133074900 0000000003           0000000005 LULU16025151      122025       
    2E000154000105      342913951     593FR 1100000000125AA  21133074900 0000000003           0000000005 LULU16025151      122025       
    2E000154000106      342913951     593FR 1100000000025AA  21134025090 0000000003           0000000020 LULU16025151      122025       
    2E000154000107      342913951     593FR 1100000000150AA  21134025090 0000000033           0000000010 LULU16025151      122025       
    2E000154000108      342913951     593FR 1100000000120AA  21134025090 0000000024           0000000010 LULU16025151      122025       
    2E000154000109      342913951     593FR 1100000000540AA  21133074900 0000000017           0000000004 LULU16025151      122025       
    2E000154000110      342913951     593FR 1100000000520AA  21133074900 0000000028           0000000010 DEDE138383005     122025       
    2E000154000111      342913951     593FR 1100000000932AA  21133074900 0000000064           0000000009 DKDK45085708      122025       
    2E000154000112      342913951     593FR 1100000000621AA  21133074900 0000000043           0000000006 DKDK45085708      122025       
    2E000154000113      342913951     593FR 1100000000613AA  21133074900 0000000046           0000000026 ITIT00771530151   122025       
    2E000154000114      342913951     593FR 1100000000880AA  21133074900 0000000060           0000000034 ITIT00771530151   122025       
    2E000154000115      342913951     593FR 1100000000543AA  21133074900 0000000040           0000000023 ITIT00771530151   122025       
    2E000154000116      342913951     593FR 1100000000681AA  21184248970 0000000017           0000000003 ITIT00771530151   122025       
    2E000154000117      342913951     593FR 1100000000177AA  21134025090 0000000029           0000000012 BEBE0650766664    122025       
    2E000154000118      342913951     593FR 1100000000193AA  21134025090 0000000040           0000000012 BEBE0650766664    122025       
    2E000154000119      342913951     593FR 1100000000234AA  21133074900 0000000013           0000000009 EEEE100433810     122025       
    2E000154000120      342913951     593FR 1100000000465AA  21134025090 0000000060           0000000010 EEEE100433810     122025       
    2E000154000121      342913951     593FR 1100000000920AA  21173269098 0000000084           0000000030 GREL094440183     122025       
    2E000154000122      342913951     593FR 1100000000092AA  21133074900 0000000006           0000000001 GREL094440183     122025       
    2E000154000123      342913951     593FR 1100000000275AA  21133074900 0000000018           0000000003 GREL094440183     122025       
    2E000154000124      342913951     593FR 1100000000092AA  21133074900 0000000006           0000000001 GREL094440183     122025       
    2E000154000125      342913951     593FR 1100000000183AA  21133074900 0000000012           0000000002 GREL094440183     122025       
    2E000154000126      342913951     593FR 1100000001308AA  21133074900 0000000034           0000000008 GREL094440183     122025       
    2E000154000127      342913951     593FR 1100000000224AA  21133029090 0000000039           0000000006 GREL094440183     122025       
    2E000154000128      342913951     593FR 1100000003014AA  21133074900 0000000144           0000000036 ITMT10289315      122025       
    2E000154000129      342913951     593FR 1100000000000AA  21184248970 0000000017           0000000003 ITMT10289315      122025       
    2E000154000130      342913951     593FR 1100000005344AA  21134025090 0000001152           0000000128 ITMT10289315      122025       
    2E000154000131      342913951     593FR 1100000002070AA  21133074900 0000000138           0000000050 ATATU66213527     122025       
    2E000154000132      342913951     593FR 1100000002203AA  21133074900 0000000142           0000000050 ATATU66213527     122025       
    2E000154000133      342913951     593FR 1100000001008AA  21184248970 0000000015           0000000048 ATATU66213527     122025       
    2E000154000134      342913951     593FR 1100000001317AA  21138249945 0000000264           0000000132 DEDE292456678     122025       
    2E000154000135      342913951     593FR 1100000000187AA  21133074900 0000000014           0000000002 ITIT06227960017   122025       
    2E000154000136      342913951     593FR 1100000000094AA  21133074900 0000000007           0000000001 ITIT06227960017   122025       
    2E000154000137      342913951     593FR 1100000000252AA  21133074900 0000000017           0000000006 ITIT06227960017   122025       
    2E000154000138      342913951     593FR 1100000000094AA  21133074900 0000000007           0000000001 ITIT06227960017   122025       
    2E000154000139      342913951     593FR 1100000000052AA  21133074900 0000000001           0000000002 ITIT06227960017   122025       
    2E000154000140      342913951     593FR 1100000000052AA  21133074900 0000000001           0000000002 ITIT06227960017   122025       
    2E000154000141      342913951     593FR 1100000000045AA  21133074900 0000000003           0000000001 ITIT06227960017   122025       
    2E000154000142      342913951     593FR 1100000003168AA  21134025090 0000000640           0000000080 ESESB58651423     122025       
    2E000154000143      342913951     593FR 1100000000714AA  21134025090 0000000149           0000000062 DEDE154355541     122025       
    2E000154000144      342913951     593FR 1100000000103AA  21133074900 0000000007           0000000001 DEDE154355541     122025       
    2E000154000145      342913951     593FR 1100000000306AA  21184248970 0000000005           0000000001 DEDE154355541     122025       
    2E000154000146      342913951     593FR 1100000000164AA  21133074900 0000000016           0000000001 DEDE154355541     122025       
    2E000154000147      342913951     593FR 1100000000049AA  21139233010 0000000001           0000000002 DEDE154355541     122025       
    2E000154000148      342913951     593FR 1100000000048AA  21139249000 0000000002           0000000005 DEDE150320946     122025       
    2E000154000149      342913951     593FR 1100000000020AA  21139249000 0000000001           0000000036 DEDE150320946     122025       
    2E000154000150      342913951     593FR 1100000000141AA  21139249000 0000000006           0000000003 DEDE150320946     122025       
    2E000154000151      342913951     593FR 1100000000008AA  21139249000 0000000000           0000000004 DEDE150320946     122025       
    2E000154000152      342913951     593FR 1100000000012AA  21139249000 0000000004           0000000006 DEDE150320946     122025       
    2E000154000153      342913951     593FR 1100000000030AA  21139249000 0000000000           0000000015 DEDE150320946     122025       
    2E000154000154      342913951     593FR 1100000000018AA  21139249000 0000000000           0000000010 DEDE150320946     122025       
    2E000154000155      342913951     593FR 1100000000033AA  21185394900 0000000000           0000000003 DEDE150320946     122025       
    2E000154000156      342913951     593FR 1100000000181AA  21133074900 0000000011           0000000003 DEDE150320946     122025       
    2E000154000157      342913951     593FR 1100000000147AA  21133074900 0000000008           0000000002 DEDE150320946     122025       
    2E000154000158      342913951     593FR 1100000000066AA  21133074900 0000000004           0000000001 DEDE150320946     122025       
    2E000154000159      342913951     593FR 1100000000123AA  21133074900 0000000004           0000000001 DEDE150320946     122025       
    2E000154000160      342913951     593FR 1100000000066AA  21133074900 0000000004           0000000001 DEDE150320946     122025       
    2E000154000161      342913951     593FR 1100000000097AA  21133074900 0000000007           0000000001 BEBE0416598172    122025       
    2E000154000162      342913951     593FR 1100000000102AA  21133074900 0000000001                      BEBE0416598172    122025       
    2E000154000163      342913951     593FR 1100000000102AA  21133074900 0000000001                      BEBE0416598172    122025       
    2E000154000164      342913951     593FR 1100000000202AA  21133074900 0000000014           0000000004 BEBE0416598172    122025       
    2E000154000165      342913951     593FR 1100000000101AA  21133074900 0000000007           0000000002 BEBE0416598172    122025       
    2E000154000166      342913951     593FR 1100000000101AA  21133074900 0000000007           0000000002 BEBE0416598172    122025       
    2E000154000167      342913951     593FR 1100000000050AA  21133074900 0000000003           0000000001 BEBE0416598172    122025       
    2E000154000168      342913951     593FR 1100000000101AA  21133074900 0000000007           0000000002 BEBE0416598172    122025       
    2E000154000169      342913951     593FR 1100000000058AA  21134011900 0000000005           0000000050 BEBE0416598172    122025       
    2E000154000170      342913951     593FR 1100000000204AA  21133074900 0000000002                      BEBE0416598172    122025       
    2E000154000171      342913951     593FR 1100000000241AA  21133074900 0000000012           0000000003 DEDE171752005     122025       
    2E000154000172      342913951     593FR 1100000000161AA  21133074900 0000000008           0000000002 DEDE171752005     122025       
    2E000154000173      342913951     593FR 1100000000080AA  21133074900 0000000004           0000000001 DEDE171752005     122025       
    2E000154000174      342913951     593FR 1100000000424AA  21184248970 0000000006           0000000001 DEDE171752005     122025       
    2E000154000175      342913951     593FR 1100000000161AA  21133074900 0000000008           0000000002 DEDE171752005     122025       
    2E000154000176      342913951     593FR 1100000000155AA  21133074900 0000000045           0000000120 DEDE171752005     122025       
    2E000154000177      342913951     593FR 1100000000757AA  21134025090 0000000178           0000000054 BEBE0773376842    122025       
    2E000154000178      342913951     593FR 1100000000190AA  21134025090 0000000043           0000000018 BEBE0773376842    122025       
    2E000154000179      342913951     593FR 1100000000160AA  21138089490 0000000030           0000000005 BEBE0773376842    122025       
    2E000154000180      342913951     593FR 1100000000099AA  21134025090 0000000017           0000000100 BEBE0773376842    122025       
    2E000154000181      342913951     593FR 1100000009438AA  21134025090 0000002400           0000000300 PLPL5271456878    122025       
    2E000154000182      342913951     593FR 1100000000629AA  21134025090 0000000160           0000000020 PLPL5271456878    122025       
    2E000154000183      342913951     593FR 1100000000370AA  21133074900 0000000031           0000000010 ITIT07867580016   122025       
    2E000154000184      342913951     593FR 1100000000380AA  21133074900 0000000066           0000000010 ITIT07867580016   122025       
    2E000154000185      342913951     593FR 1100000000132AA  21133074900 0000000004           0000000001 ITIT07867580016   122025       
    2E000154000186      342913951     593FR 1100000000130AA  21133074900 0000000008           0000000002 ITIT07867580016   122025       
    2E000154000187      342913951     593FR 1100000000678AA  21134025010 0000000317           0000000016 ITIT07867580016   122025       
    2E000154000188      342913951     593FR 1100000000678AA  21134025010 0000000317           0000000016 ITIT07867580016   122025       
    2E000154000189      342913951     593FR 1100000000050AA  21134025090 0000000012                      DEDE218275296     122025       
    2E000154000190      342913951     593FR 1100000000148AA  21133074900 0000000043           0000000108 DEDE218275296     122025       
    2E000154000191      342913951     593FR 1100000000082AA  21133074900 0000000023           0000000060 DEDE218275296     122025       
    2E000154000192      342913951     593FR 1100000000148AA  21133074900 0000000041           0000000108 DEDE218275296     122025       
    2E000154000193      342913951     593FR 1100000000082AA  21133074900 0000000023           0000000060 DEDE218275296     122025       
    2E000154000194      342913951     593FR 1100000000042AA  21133074900 0000000003           0000000001 DEDE218275296     122025       
    2E000154000195      342913951     593FR 1100000000058AA  21184248970 0000000002           0000000001 DEDE218275296     122025       
    2E000154000196      342913951     593FR 1100000000266AA  21133074900 0000000021           0000000003 DEDE218275296     122025       
    2E000154000197      342913951     593FR 1100000000092AA  21133074900 0000000007           0000000001 DEDE218275296     122025       
    2E000154000198      342913951     593FR 1100000000429AA  21133074900 0000000018           0000000010 IEIE8208742A      122025       
    2E000154000199      342913951     593FR 1100000000793AA  21134025010 0000000298           0000000015 IEIE8208742A      122025       
    2E000154000200      342913951     593FR 1100000000529AA  21134025010 0000000206           0000000010 IEIE8208742A      122025       
    2E000154000201      342913951     593FR 1100000002236AA  21133074900 0000000143           0000000050 ATATU66213527     122025       
    2E000154000202      342913951     593FR 1100000000107AA  21133074900 0000000004           0000000001 DEDE121856533     122025       
    2E000154000203      342913951     593FR 1100000000428AA  21133074900 0000000017           0000000004 DEDE121856533     122025       
    2E000154000204      342913951     593FR 1100000000107AA  21133074900 0000000004           0000000001 DEDE121856533     122025       
    2E000154000205      342913951     593FR 1100000000030AA  21133074900 0000000003           0000000002 DEDE121856533     122025       
    2E000154000206      342913951     593FR 1100000000535AA  21133074900 0000000021           0000000005 DEDE121856533     122025       
    2E000154000207      342913951     593FR 1100000000720AA  21133074900 0000000064           0000000009 ATATU68260259     122025       
    2E000154000208      342913951     593FR 1100000000930AA  21133074900 0000000078           0000000011 ATATU68260259     122025       
    2E000154000209      342913951     593FR 1100000000311AA  21133074900 0000000008           0000000012 ATATU68260259     122025       
    2E000154000210      342913951     593FR 1100000000078AA  21133074900 0000000002           0000000003 ATATU68260259     122025       
    2E000154000211      342913951     593FR 1100000000078AA  21133074900 0000000002           0000000003 ATATU68260259     122025       
    2E000154000212      342913951     593FR 1100000000238AA  21134025010 0000000103           0000000005 BEBE0408282896    122025       
    2E000154000213      342913951     593FR 1100000000088AA  21139249000 0000000007           0000000002 BEBE0408282896    122025       
    2E000154000214      342913951     593FR 1100000000044AA  21139249000 0000000004           0000000001 BEBE0408282896    122025       
    2E000154000215      342913951     593FR 1100000000048AA  21134025010 0000000020           0000000001 BEBE0408282896    122025       
    2E000154000216      342913951     593FR 1100000000523AA  21134025010 0000000218           0000000011 BEBE0408282896    122025       
    2E000154000217      342913951     593FR 1100000000021AA  21133074900 0000000005           0000000012 DEDE166840066     122025       
    2E000154000218      342913951     593FR 1100000000056AA  21133074900 0000000001           0000000002 DEDE166840066     122025       
    2E000154000219      342913951     593FR 1100000000119AA  21133074900 0000000004           0000000001 DEDE166840066     122025       
    2E000154000220      342913951     593FR 1100000000166AA  21133074900 0000000015           0000000010 DEDE166840066     122025       
    2E000154000221      342913951     593FR 1100000000352AA  21133074900 0000000027           0000000010 ESESB18087270     122025       
    2E000154000222      342913951     593FR 1100000000901AA  21133074900 0000000183           0000000027 ESESB18087270     122025       
    2E000154000223      342913951     593FR 1100000000901AA  21133074900 0000000183           0000000027 ESESB18087270     122025       
    2E000154000224      342913951     593FR 1100000000133AA  21133074900 0000000028           0000000004 ESESB18087270     122025       
    2E000154000225      342913951     593FR 1100000001754AA  21134025010 0000000635           0000000032 ESES13786850Y     122025       
    2E000154000226      342913951     593FR 1100000000031AA  21133074900 0000000003           0000000002 ESESB99508962     122025       
    2E000154000227      342913951     593FR 1100000000346AA  21133074900 0000000017           0000000004 ESESB99508962     122025       
    2E000154000228      342913951     593FR 1100000000346AA  21133074900 0000000017           0000000004 ESESB99508962     122025       
    2E000154000229      342913951     593FR 1100000000177AA  21133074900 0000000008           0000000002 ESESB17427618     122025       
    2E000154000230      342913951     593FR 1100000000357AA  21139249000 0000000050           0000000030 ESESB17427618     122025       
    2E000154000231      342913951     593FR 1100000000156AA  21184248970 0000000006           0000000001 ESESB17427618     122025       
    2E000154000232      342913951     593FR 1100000000218AA  21138089490 0000000024           0000000004 ESESB17427618     122025       
    2E000154000233      342913951     593FR 1100000000185AA  21133074900 0000000013           0000000002 ESESB17427618     122025       
    2E000154000234      342913951     593FR 1100000000430AA  21134025090 0000000060           0000000010 PTPT 505495414    122025       
    2E000154000235      342913951     593FR 1100000003153AA  21138089490 0000000360           0000000060 PTPT 505495414    122025       
    2E000154000236      342913951     593FR 1100000000284AA  21133074900 0000000020           0000000003 DEDE154355541     122025       
    2E000154000237      342913951     593FR 1100000001220AA  21133074900 0000000114           0000000017 DEDE294772995     122025       
    2E000154000238      342913951     593FR 1100000000579AA  21133074900 0000000043           0000000006 DEDE248975703     122025       
    2E000154000239      342913951     593FR 1100000000029AA  21134025090 0000000005           0000000030 DEDE272669325     122025       
    2E000154000240      342913951     593FR 1100000000156AA  21133074900 0000000041           0000000108 DEDE272669325     122025       
    2E000154000241      342913951     593FR 1100000000156AA  21133074900 0000000041           0000000108 DEDE272669325     122025       
    2E000154000242      342913951     593FR 1100000000111AA  21133074900 0000000005           0000000002 DEDE212567759     122025       
    2E000154000243      342913951     593FR 1100000000151AA  21133074900 0000000008           0000000003 DEDE212567759     122025       
    2E000154000244      342913951     593FR 1100000000254AA  21133074900 0000000008           0000000002 DEDE212567759     122025       
    2E000154000245      342913951     593FR 1100000000149AA  21133074900 0000000003           0000000001 ESESB64794746     122025       
    2E000154000246      342913951     593FR 1100000000538AA  21133074900 0000000054           0000000008 ESESB64794746     122025       
    2E000154000247      342913951     593FR 1100000000054AA  21139249000 0000000007                      ESESB64794746     122025       
    2E000154000248      342913951     593FR 1100000000788AA  21133074900 0000000025           0000000006 DEDE210986782     122025       
    2E000154000249      342913951     593FR 1100000001733AA  21133074900 0000000026           0000000033 BEBE0502475341    122025       
    2E000154000250      342913951     593FR 1100000000221AA  21133074900 0000000008           0000000002 ESESB72836547     122025       
    2E000154000251      342913951     593FR 1100000000662AA  21133074900 0000000025           0000000006 ESESB72836547     122025       
    2E000154000252      342913951     593FR 1100000000221AA  21133074900 0000000008           0000000002 ESESB72836547     122025       
    2E000154000253      342913951     593FR 1100000000540AA  21133074900 0000000017           0000000004 LULU16025151      122025       
    2E000154000254      342913951     593FR 1100000000540AA  21133074900 0000000017           0000000004 LULU16025151      122025       
    2E000154000255      342913951     593FR 1100000000250AA  21133074900 0000000006           0000000010 LULU16025151      122025       
    2E000154000256      342913951     593FR 1100000000090AA  21138089490 0000000012           0000000002 LULU16025151      122025       
    2E000154000257      342913951     593FR 1100000000150AA  21134025090 0000000033           0000000010 LULU16025151      122025       
    2E000154000258      342913951     593FR 1100000000599AA  21138249945 0000000090           0000000010 ESESB62999610     122025       
    2E000154000259      342913951     593FR 1100000000476AA  21138249996 0000000077           0000000008 ESESB62999610     122025       
    2E000154000260      342913951     593FR 1100000000764AA  21134025090 0000000099           0000000010 ESESB62999610     122025       
    2E000154000261      342913951     593FR 1100000003001AA  21134025090 0000000756                      RORO7772644       122025       
    2E000154000262      342913951     593FR 1100000000500AA  21133074900 0000000021           0000000005 RORO7772644       122025       
    2E000154000263      342913951     593FR 1100000000054AA  21133074900 0000000001           0000000002 ESESB18916114     122025       
    2E000154000264      342913951     593FR 1100000000027AA  21133074900 0000000001                      ESESB18916114     122025       
    2E000154000265      342913951     593FR 1100000000027AA  21133074900 0000000001                      ESESB18916114     122025       
    2E000154000266      342913951     593FR 1100000000027AA  21133074900 0000000001                      ESESB18916114     122025       
    2E000154000267      342913951     593FR 1100000000027AA  21133074900 0000000001                      ESESB18916114     122025       
    2E000154000268      342913951     593FR 1100000000147AA  21133074900 0000000004           0000000001 ESESB18916114     122025       
    2E000154000269      342913951     593FR 1100000000048AA  21133074900 0000000001           0000000002 ESESB18916114     122025       
    2E000154000270      342913951     593FR 1100000000041AA  21134025010 0000000002           0000000022 ESESB18916114     122025       
    2E000154000271      342913951     593FR 1100000000024AA  21133074900 0000000001                      ESESB18916114     122025       
    2E000154000272      342913951     593FR 1100000000024AA  21133074900 0000000001                      ESESB18916114     122025       
    2E000154000273      342913951     593FR 1100000000024AA  21133074900 0000000001                      ESESB18916114     122025       
